St. Met. Week,Period,Temp min,Temp max,rh_7,rh_2,rainfall,num_rainy
23,Jun 4 - 10,24.57,30.94,83.57,76.71,18.29,2
24,Jun  11 - 17,24.31,30.12,91.14,81,55.37,3
25,Jun18 - 24,25.09,30.69,85.29,75.86,7.62,1
26,Jun 25-Jul 1,24.94,30.73,89,86.86,0,0
27,Jul 2-8,25.02,31.2,89.29,80.77,3.56,3
28,Jul 9-15,23.66,29.69,92.86,88.57,101.35,4
29,Jul 16-22,24.31,30.42,95.43,86.14,22.61,1
30,Jul 23-29,23.99,29.77,91.71,87.71,58.93,5
31,Jul 30-Aug 5,24.13,30.56,90.43,89,7.11,2
32,Aug 6-12,24.12,29.76,93.14,91.57,33.78,3
33,Aug 13-19,24.08,29.78,92.71,90,7.11,2
34,Aug 20-26,24.04,30.45,93.14,89.71,8.13,1
35,Aug 27-Sep 2,23.7,29.62,93.86,85.57,89.92,6
36,Sep 3-9,24.13,29.8,88.43,78.57,27.69,4
37,Sep 10-16,24.29,29.93,88.43,80.71,95.76,5
38,Sep 17-23,25.04,31.16,88.29,77.86,1.52,0
39,Sep 24-30,23.68,30.27,90.71,78.43,84.33,2
40,Oct 1-7,23.96,30.12,91.29,88.29,37.59,2
41,Oct 8-14,23.22,29.7,90,85,94.74,6
42,Oct 15-21,24.44,29.73,88.43,86.29,105.41,4
43,Oct 22-28,23.94,30.56,90.14,81.71,28.48,3
44,Oct 29-Nov 4,23.78,29.23,94,80.43,52.77,6
45,Nov 5-11,23.6,29.96,86.43,75.71,41.91,2
46,Nov 12-18,23.59,28.97,91,82,178.31,6
47,Nov 19-25,23.4,29.94,86.71,77.86,10.41,2
48,Nov 26-Dec 2,23.12,29.29,90.43,77.57,96.52,4
49,Dec 3-9,24.13,30.5,86.29,72.71,4.06,1
50,Dec 10-16,23.8,31.14,89.29,70.71,3.56,0
51,Dec 17-23,23.14,30.95,81.57,69.29,0,0
52,Dec 24-31,21.49,28.94,78.75,75,0,0
1,Jan 1-7,23.04,31.28,90.74,67.81,0,0
2,Jan 8-14,23.83,30.36,92.23,72.61,4.06,1
3,Jan 15-21,23.2,30.27,92.63,67.72,0,0
4,Jan 22-28,23.42,30.76,86.6,65.16,0,0
5,Jan 29-Feb 4,23.48,31,90.91,57.3,0,0
6,Feb 5-11,23.75,30.66,88.05,67.17,0,0
7,Feb 12-18,24.07,30.79,88.43,66.14,36.32,1
8,Feb 19-25,24.11,31.24,88.21,62.79,17.78,1
9,Feb 26-Mar 4,23.25,31.66,91.3,60.54,0,0
10,Mar 5-11,24.57,31.16,88.07,66.75,0,0
11,Mar 12-18,24.77,32.28,84.8,64.7,0,0
12,Mar 19-25,26.25,32.36,80.52,64.88,0,0
13,Mar 26-Apr 1,25.69,32.03,86.78,68.17,0.76,0
14,Apr 2-8,24.18,32.15,88.6,70.91,42.93,2
15,Apr 9-15,23.73,31.42,91,73.63,85.6,4
16,Apr 16-22,25.16,31.88,88.25,71.77,35.81,2
17,Apr 23-29,25.8,32.41,89.13,68.53,20.07,2
18,Apr 30-May 6,26.79,32.8,84.86,70.2,18.54,1
19,May 7-13,25.24,31.93,86.23,68.04,37.34,3
20,May 14-20,23.94,29.35,93.16,80.1,185.93,6
21,May 21-27,24.93,30.22,90.86,77.06,55.12,3
22,May 28-Jun 3,24.59,30.23,91,77.6,58.67,6
