Std. Met. Week No,Period,max temp,min temp,rh 7,rh 2,rainfall,num_rainy
23,04 Jun - 10 Jun,32.00,26.36, 91.43 , 79.71 , 87 , 5 
24,11 Jun - 17 Jun,32.43,26.65, 88.14 , 72.71 , 32 , 4 
25,18 Jun - 24 Jun,32.57,25.64, 80.00 , 71.29 , 8 , 2 
26,25 Jun - 01 Jul,32.29,24.72, 85.57 , 76.71 , 47 , 4 
27,02 Jun - 08 Jul,31.57,24.29, 88.00 , 76.86 , 19 , 2 
28,09 Jun - 15 Jul,32.29,24.14, 86.71 , 71.00 , -   , -   
29,16 Jun - 22 Jul,32.15,23.36, 86.71 , 72.86 , 4 , 2 
30,23 Jun - 29 Jul,30.71,23.43, 86.86 , 78.43 , 81 , 5 
31,30 Jun - 05 Aug,31.36,24.72, 89.71 , 78.14 , 39 , 5 
32,06 Aug - 12 Aug,31.29,24.43, 93.00 , 86.57 , 126 , 5 
33,13 Aug - 19 Aug,31.50,25.93, 86.57 , 74.00 , -   , -   
34,20 Aug - 26 Aug,31.50,26.43, 87.57 , 71.14 , -   , -   
35,27 Aug - 02 Sep,31.79,26.12, 88.71 , 88.86 , -   , -   
36,03 Aug - 09 Sep,31.21,23.36, 94.00 , 90.00 , 423 , 7 
37,10 Sep - 16 Sep,30.64,23.36, 91.14 , 88.43 , 66 , 7 
38,17 Sep - 23 Sep,30.50,24.29, 90.43 , 90.71 , 117 , 7 
39,24 Sep - 30 Sep,30.79,22.93, 91.86 , 92.86 , 10 , 3 
40,01 Oct - 07 Oct,31.00,24.71, 91.00 , 89.43 , 10 , 1 
41,08 Oct - 14 Oct,31.15,22.14, 91.43 , 88.57 , 133 , 5 
42,15 Oct - 21 Oct,31.14,21.36, 93.00 , 88.57 , 22 , 3 
43,22 Oct - 28 Oct,31.36,26.14, 92.00 , 92.29 , 4 , 1 
44,29 Oct - 04 Nov,32.21,23.14, 91.43 , 82.43 , -   , -   
45,05 Nov - 11 Nov,32.64,24.65, 89.57 , 76.71 , 12 , 1 
46,12 Nov - 18 Nov,31.07,24.00, 93.00 , 75.71 , 80 , 6 
47,19 Nov - 25 Nov,32.07,23.50, 83.14 , 71.29 , -   , -   
48,26 Nov - 02 Dec,32.50,23.93, 83.00 , 79.00 , 15 , 1 
49,03 Dec - 09 Dec,32.36,25.36, 94.00 , 94.29 , 44 , 2 
50,10 Dec - 16 Dec,33.00,24.21, 94.29 , 92.14 , 57 , 2 
51,17 Dec - 23 Dec,33.15,24.36, 92.14 , 82.00 , 6 , 3 
52,24 Dec - 31 Dec,33.31,23.82, 86.00 , 81.13 , -   , -   
1,01 Jan - 07 Jan,31.57,22.50, 92.86 , 77.00 , 19 , 3 
2,08 Jan - 14 Jan,31.43,23.14, 94.86 , 84.29 , 46 , 6 
3,15 Jan - 21 Jan,31.93,23.00, 91.14 , 69.71 , -   , -   
4,22 Jan - 28 Jan,32.00,25.00, 92.71 , 78.86 , -   , -   
5,29 Jan - 04 Feb,32.50,22.64, 93.57 , 91.00 , -   , -   
6,05 Feb - 11 Feb,32.21,21.71, 92.57 , 86.29 , -   , -   
7,12 Feb - 18 Feb,32.00,21.86, 93.57 , 90.00 , -   , -   
8,19 Feb - 25 Feb,32.43,23.71, 94.29 , 88.71 , -   , -   
9,26 Feb - 04 Mar,32.79,23.14, 92.29 , 76.57 , -   , -   
10,05 Mar - 11 Mar,33.29,22.50, 90.00 , 63.71 , -   , -   
11,12 Mar - 18 Mar,33.86,22.71, 92.29 , 85.71 , -   , -   
12,19 Mar - 25 Mar,33.64,23.93, 95.71 , 90.57 , -   , -   
13,26 Mar - 01 Apr,32.59,28.31, 99.99 , 85.95 , 47 , 2 
14,02 Apr - 08 Apr,32.38,28.87, 99.74 , 87.63 , -   , -   
15,09 Apr - 15 Apr, 32.09 ,27.69, 99.99 , 89.69 , 61 , 4 
16,16 Apr - 22 Apr, 32.11 ,28.07, 99.99 , 88.82 , 5 , 3 
17,23 Apr - 29 Apr, 32.84 ,28.84, 99.99 , 86.57 , 3 , 4 
18,30 Apr - 06 May, 32.90 ,27.95, 99.99 , 89.01 , 28 , 4 
19,07 May - 13 May, 32.29 ,27.68, 99.99 , 95.92 , 153 , 6 
20,14 May - 20 May, 31.08 ,26.35, 99.99 , 96.39 , 239 , 6 
21,21 May - 27 May, 30.08 ,26.77, 99.99 , 97.52 , 246 , 6 
22,28 May - 03 Jun, 31.06 ,27.26, 99.99 , 87.87 , 44 , 5 
